iteration, number_of_elements, start_time, end_time, duration, result
10000, 10000, 1571596819013, 1571596819260, 247, true
20000, 20000, 1571596819261, 1571596820172, 911, true
30000, 30000, 1571596820172, 1571596822113, 1941, true
40000, 40000, 1571596822113, 1571596824473, 2360, true
50000, 50000, 1571596824474, 1571596829816, 5342, true
60000, 60000, 1571596829816, 1571596836390, 6574, true
70000, 70000, 1571596836390, 1571596843744, 7354, true
80000, 80000, 1571596843744, 1571596853448, 9704, true
90000, 90000, 1571596853448, 1571596865617, 12169, true
100000, 100000, 1571596865617, 1571596880855, 15238, true
